"시도별",2016,2016,2016,2016,2016,2016,2016,2016,2016
"시도별",계,배우자 부정,정신적육체적 학대,가족간 불화,경제문제,성격차이,건강문제,기타,미상
"전국",107328,7564,3812,7927,10928,48560,605,21308,6624
"서울특별시",17777,1164,578,1410,1931,7349,90,3634,1621
"부산광역시",6859,453,215,478,741,3526,26,1086,334
"대구광역시",4383,345,192,325,480,2041,16,882,102
"인천광역시",7097,504,234,467,689,3054,32,1128,989
"광주광역시",2817,208,90,185,285,1186,16,748,99
"대전광역시",2890,175,81,182,290,1424,10,609,119
"울산광역시",2520,202,114,233,216,1129,23,549,54
"세종특별자치시",343,26,11,24,23,167,2,78,12
"경기도",26723,1858,871,1929,2928,12129,141,5188,1679
"강원도",3482,237,158,308,389,1716,29,558,87
"충청북도",3446,271,135,215,316,1484,26,938,61
"충청남도",4682,366,184,360,398,2253,27,959,135
"전라북도",3979,273,142,321,424,1979,36,707,97
"전라남도",3965,305,177,311,393,1736,21,927,95
"경상북도",5375,389,215,396,483,2703,33,990,166
"경상남도",7486,572,314,598,716,3455,51,1422,358
"제주특별자치도",1552,100,52,71,116,585,3,242,383
"국외",1952,116,49,114,110,644,23,663,233
