"직업별",2016,2016,2016,2016,2016,2016
"직업별",종사자수 (명),종사자수 비율 (%),퇴사자수 (명),퇴사자수 비율 (%),신규채용 인원 (명),신규채용 인원 비율 (%)
"합 계",664161,100.0,138874,100.0,139459,100.0
"관리자",43200,6.5,1788,1.3,1324,0.9
"전문가 및 관련 종사자",100608,15.1,17833,12.8,19179,13.8
"사무 종사자",94112,14.2,9731,7.0,10698,7.7
"서비스 종사자",82512,12.4,22881,16.5,21648,15.5
"판매 종사자",60149,9.1,11427,8.2,11480,8.2
"농림어업 숙련 종사자",1122,0.2,110,0.1,110,0.1
"기능원 및 관련 기능 종사자",67547,10.2,13299,9.6,12396,8.9
"장치·기계조작 및 조립종사자",90642,13.6,17964,12.9,16112,11.6
"단순노무종사자",124268,18.7,43841,31.6,46513,33.4
